Tipo,Prov_Ciudad,Zona,Calle,Precio,Metros,Habitación,Baños
Piso,Barcelona,Eixample esquerra,calle Calabria,1290,95,3,2
Piso,Barcelona,El Guinardó,calle Sant Pere Dabanto,975,71,2,1
Piso,Barcelona,Les Tres Torres,calle Del Doctor Carulla,1800,103,3,1
Piso,Barcelona,Eixample dreta,calle Mallorca,2500,175,7,2
Piso,Barcelona,Sant Ramon-La Maternitat,calle Sant Ramón,950,73,3,2
Piso,Barcelona,NA,Sant Gervasi – La Bonanova,2100,180,3,3
Piso,Barcelona,NA,Les corts,1600,100,4,2
Piso,Barcelona,El Gótic,calle De Naroles,1100,59,2,1
Piso,Barcelona,Eixample dreta,calle Ausias Marc,2200,169,3,2
Apartamento,Barcelona,NA,Sant Gervasi – Galvany,2200,149,4,2
Piso,Barcelona,Eixample dreta,calle Roger de Flor,1400,110,4,2
Piso,Barcelona,Camp de l´Arpa,calle Conca,890,60,3,1
Ático,Barcelona,NA,Eixample dreta,1950,67,1,1
Piso,Barcelona,Sant Gervasi – Galvany,calle Tavern,1300,90,3,2
Piso,Barcelona,Fort Pienc,calle Gran Via de Les Corts Catalanes,2000,90,4,2
Piso,Barcelona,La Teixonera,calle Santa Rosalia,1500,120,3,2
Piso,Barcelona,NA,Eixample dreta,1990,130,4,2
Piso,Barcelona,Hostafrancs,calle Del Consell de Cent,1400,60,2,1
Piso,Barcelona,NA,Diagonal Mar,1600,120,3,2
Piso,Barcelona,El Raval,calle Del Paraŀlel,1100,32,1,1
Piso,Barcelona,El Poble Sec-Montjuïc,calle Cabanes,1200,60,3,1
Casa,Barcelona,Sant Gervasi – La Bonanova,calle Gaziel,7798,316,4,5
Piso,Barcelona,Eixample esquerra,calle La Nova Esquerra de L´Eixample,1475,90,3,2
Piso,Barcelona,El Raval,calle Del Pi,1760,48,1,1
Piso,Barcelona,El Baix Guinardó,calle Castillejos,900,65,3,1
Piso,Barcelona,NA,Sant Gervasi – La Bonanova,900,45,1,1
Piso,Barcelona,NA,Sant Antoni,1200,62,2,1
Piso,Barcelona,Sants-Badal,calle De Bonsoms,1300,50,2,1
Piso,Barcelona,NA,Ciutat  Vella,1100,50,2,1
Piso,Barcelona,NA,Camp d´en Grassot,1850,80,2,2
Piso,Barcelona,Sant Gervasi – La Bonanova,calle Cister,9757,265,5,5
Piso,Barcelona,Sant Gervasi – La Bonanova,calle Sant Gervasi la Bonanova,2160,155,5,2
Piso,Barcelona,El Raval,calle Del Bot,1970,50,1,1
Piso,Barcelona,NA,Sant Gervasi – La Bonanova,1800,75,2,2
Piso,Barcelona,Eixample dreta,calle De Mallorca,2500,171,7,2
Piso,Barcelona,Eixample dreta,calle Diagonal,3300,196,4,2
Piso,Barcelona,NA,Hostafrancs,1400,65,2,1
Ático,Barcelona,NA,Vilapicina i la Torre Llobeta,1150,55,2,1
Piso,Barcelona,La Sagrera,calle Indústria,950,56,1,1
Piso,Barcelona,El Gótic,calle Sils,950,48,2,1
Piso,Barcelona,Sants-Badal,calle Rambla de Badal,950,65,2,1
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,calle Sant Pere Mitjà,1200,80,2,1
Piso,Barcelona,Sant Gervasi – Galvany,calle Reina Victoria,8000,330,6,4
Piso,Barcelona,Eixample esquerra,calle Viladomat,1200,65,2,1
Piso,Barcelona,NA,Vila de Gràcia,1700,110,1,2
Piso,Barcelona,NA,Les corts,3300,250,6,3
Piso,Barcelona,Eixample dreta,calle Dreta de L´Eixample,2500,175,7,2
Piso,Barcelona,Sant Gervasi – Galvany,calle Tavern,1572,59,1,1
Piso,Barcelona,NA,Sant Gervasi – La Bonanova,1650,100,2,1
